T(K),a,da/dT
318.4,0,0
319.9,0.000487152,0.000324768
321.4,0.000980676,0.000329016
323.15,0.001564777,0.000333772
326.15,0.002587428,0.000340884
328.4,0.003372269,0.000348818
330.9,0.004262121,0.000355941
333.65,0.005261974,0.000363583
336.65,0.006376385,0.00037147
341.15,0.008088913,0.000380562
343.9,0.009155168,0.000387729
346.9,0.010330175,0.000391669
349.4,0.011314274,0.00039364
352.65,0.012591752,0.00039307
354.65,0.013371349,0.000389799
356.4,0.014045672,0.000385327
357.65,0.014521268,0.000380477
358.9,0.014990896,0.000375703
359.65,0.015269664,0.00037169
360.15,0.015454296,0.000369265
360.4,0.015546275,0.000367915
362.15,0.016185717,0.000365395
363.65,0.016735126,0.000366272
366.15,0.017707507,0.000388953
367.65,0.018376383,0.000445917
369.15,0.019244304,0.000578614
370.4,0.020027106,0.000626241
372.65,0.021547584,0.000675768
373.4,0.022052159,0.000672767
374.65,0.022895903,0.000674995
375.4,0.023441874,0.000727961
376.4,0.024155349,0.000713475
377.15,0.024705774,0.0007339
377.4,0.024884362,0.000714355
377.65,0.025064323,0.000719843
378.15,0.025444539,0.000760431
378.4,0.025643547,0.000796031
379.15,0.026217615,0.000765424
380.65,0.027365824,0.000765473
381.65,0.028131079,0.000765255
382.9,0.029119513,0.000790747
384.4,0.030314463,0.000796633
386.4,0.031950037,0.000817787
388.15,0.033400242,0.000828689
389.65,0.034654664,0.000836282
391.4,0.036135869,0.000846403
393.65,0.038058128,0.000854338
394.9,0.03910001,0.000833505
396.65,0.040575469,0.000843119
397.9,0.041622452,0.000837587
399.9,0.043254673,0.00081611
401.15,0.044300444,0.000836617
402.15,0.045123611,0.000823167
403.15,0.045955288,0.000831676
404.65,0.047137263,0.000787984
405.15,0.047535183,0.000795839
405.9,0.048079897,0.000726286
406.65,0.048626469,0.000728762
407.4,0.049123457,0.000662651
407.9,0.049448591,0.000650268
408.15,0.0496009,0.000609238
408.65,0.049910622,0.000619443
408.9,0.050062718,0.000608383
409.4,0.050364573,0.00060371
409.65,0.050514009,0.000597745
410.15,0.050813695,0.000599371
410.65,0.051114182,0.000600974
411.15,0.051415234,0.000602103
411.9,0.051870263,0.000606706
412.4,0.052176137,0.000611748
413.65,0.052955969,0.000623866
414.4,0.053429083,0.000630819
415.4,0.054065013,0.000635929
416.65,0.054875061,0.000648039
417.9,0.055693369,0.000654646
418.9,0.056343789,0.00065042
419.9,0.057001229,0.00065744
421.4,0.057996108,0.000663253
422.65,0.058819725,0.000658894
423.9,0.059643781,0.000659245
424.9,0.060299484,0.000655703
426.65,0.061432808,6.48E-04
427.65,0.062083642,6.51E-04
428.65,0.062725699,6.42E-04
429.65,0.063365172,6.39E-04
430.9,0.06415547,6.32E-04
431.9,0.06479546,6.40E-04
432.65,0.065267038,6.29E-04
433.4,0.065736211,6.26E-04
434.65,0.066530917,6.36E-04
435.15,0.066843172,6.25E-04
435.9,0.067331423,6.51E-04
436.4,0.067646059,6.29E-04
437.15,0.068140145,6.59E-04
437.65,0.06845823,6.36E-04
438.15,0.068787421,6.58E-04
438.65,0.069108432,6.42E-04
439.15,0.069439649,6.62E-04
439.4,0.069601299,6.47E-04
439.9,0.069925745,6.49E-04
440.15,0.070095432,6.79E-04
440.65,0.070415399,6.40E-04
440.9,0.070585004,6.78E-04
441.15,0.070743933,6.36E-04
441.65,0.071082452,6.77E-04
442.15,0.071406357,6.48E-04
442.4,0.071573124,6.67E-04
442.9,0.071906689,6.67E-04
443.15,0.072076295,6.78E-04
443.65,0.072414086,6.76E-04
444.15,0.072755649,6.83E-04
444.4,0.072928802,6.93E-04
444.9,0.073270626,6.84E-04
445.4,0.073619033,6.97E-04
445.9,0.073966407,6.95E-04
446.4,0.074323376,7.14E-04
447.15,0.074848791,7.01E-04
447.65,0.075196838,6.96E-04
448.15,0.075557342,7.21E-04
449.15,0.076272471,7.15E-04
449.9,0.076807758,7.14E-04
450.4,0.077163686,7.12E-04
451.65,0.078059196,7.16E-04
452.15,0.07841606,7.14E-04
452.9,0.078953666,7.17E-04
453.65,0.07949273,7.19E-04
454.9,0.080413895,7.37E-04
455.65,0.080950608,7.16E-04
456.4,0.081501443,7.34E-04
457.15,0.082075564,7.65E-04
458.4,0.083051998,7.81E-04
459.4,0.083822745,7.71E-04
460.15,0.084431242,8.11E-04
460.9,0.085084294,8.71E-04
462.15,0.086151861,8.54E-04
462.65,0.086589509,8.75E-04
463.65,0.087521566,9.32E-04
464.4,0.088248407,9.69E-04
465.4,0.089268621,1.02E-03
466.15,0.089987716,9.59E-04
466.9,0.090806421,1.09E-03
467.9,0.091852429,1.05E-03
468.65,0.092667969,1.09E-03
469.15,0.09323586,1.14E-03
469.9,0.09408107,1.13E-03
470.9,0.09522124,1.14E-03
471.4,0.095783191,1.12E-03
472.15,0.096715096,1.24E-03
472.4,0.097004147,1.16E-03
473.4,0.098213884,1.21E-03
473.9,0.098813161,1.20E-03
474.65,0.099756284,1.26E-03
475.4,0.100685797,1.24E-03
475.9,0.10131499,1.26E-03
476.4,0.101974947,1.32E-03
476.9,0.102639274,1.33E-03
477.9,0.103902831,1.26E-03
478.4,0.1045849,1.36E-03
478.9,0.105254503,1.34E-03
479.4,0.105930911,1.35E-03
480.15,0.106958226,1.37E-03
480.9,0.10798743,1.37E-03
481.65,0.10905673,1.43E-03
482.15,0.109769151,1.42E-03
482.9,0.110829202,1.41E-03
483.4,0.111568584,1.48E-03
484.15,0.112663924,1.46E-03
484.9,0.113794031,1.51E-03
485.65,0.114927071,1.51E-03
486.4,0.116060476,1.51E-03
486.9,0.11680588,1.49E-03
487.65,0.117969132,1.55E-03
488.4,0.119159422,1.59E-03
489.15,0.120332328,1.56E-03
489.65,0.121131121,1.60E-03
490.9,0.123152128,1.62E-03
491.4,0.123969862,1.64E-03
492.15,0.125205804,1.65E-03
493.15,0.126827384,1.62E-03
493.9,0.128129578,1.74E-03
494.65,0.129398584,1.69E-03
495.4,0.130653791,1.67E-03
496.4,0.132367416,1.71E-03
496.9,0.133251649,1.77E-03
497.65,0.134547704,1.73E-03
498.4,0.135848892,1.73E-03
499.15,0.137155696,1.74E-03
500.15,0.138935243,1.78E-03
500.9,0.140231459,1.73E-03
501.9,0.142070233,1.84E-03
502.65,0.143421047,1.80E-03
503.15,0.144298151,1.75E-03
503.9,0.145703509,0.00187381
504.9,0.147560721,0.001857212
505.65,0.149005742,0.001926695
506.15,0.149957361,0.001903238
506.9,0.151432294,0.001966577
507.9,0.153448262,0.002015968
508.65,0.154964373,0.002021482
509.15,0.156025429,0.002122112
510.15,0.158165705,0.002140275
510.65,0.159244384,0.002157358
511.65,0.161416444,0.00217206
512.15,0.162508835,0.002184783
513.15,0.164704162,0.002195327
513.9,0.166358471,0.002205745
514.4,0.167464505,0.002212067
514.9,0.168572768,0.002216527
516.15,0.171351734,0.002223173
516.65,0.17246615,0.002228832
517.4,0.174118189,0.002202719
518.4,0.176353758,0.002235569
518.9,0.177480521,0.002253526
519.65,0.179189605,0.002278779
520.15,0.180344895,0.002310578
521.4,0.183360512,0.002412494
522.15,0.185256201,0.002527585
522.65,0.186521539,0.002530676
523.65,0.189436888,0.002915348
524.4,0.191816065,0.003172237
525.15,0.194673939,0.003810499
525.9,0.19767591,0.004002627
526.65,0.20101268,0.004449027
527.4,0.204680394,0.004890285
528.4,0.210885777,0.006205383
528.9,0.212870912,0.00397027
529.9,0.219191551,0.006320639
530.65,0.223698143,0.006008789
531.4,0.22784371,0.005527423
532.4,0.234211213,0.006367504
532.9,0.237171614,0.005920801
533.9,0.243812805,0.006641191
534.4,0.24712605,0.00662649
535.4,0.253486361,0.006360312
536.15,0.258065926,0.006106086
536.9,0.262517329,0.005935203
537.9,0.268298191,0.005780863
538.4,0.271136628,0.005676872
539.15,0.27534343,0.00560907
540.15,0.280878047,0.005534617
541.15,0.286349684,0.005471637
541.65,0.289067683,0.005435998
542.4,0.293127434,0.005413002
543.15,0.297170727,0.005391057
544.15,0.302478766,0.005308039
544.9,0.306386218,0.005209936
545.65,0.310252591,0.005155165
546.65,0.315497743,0.005245152
547.4,0.319418513,0.005227693
548.15,0.323365459,0.005262594
548.9,0.327339405,0.005298595
549.9,0.332681201,0.005341796
550.4,0.335331612,0.00530082
551.15,0.339428819,0.005462943
552.4,0.346250933,0.005457691
552.9,0.348998204,0.005494541
553.65,0.353134861,0.005515544
554.4,0.357268155,0.005511058
555.4,0.362825859,0.005557704
556.4,0.368346207,0.005520348
557.15,0.372461048,0.005486455
557.65,0.375220133,0.00551817
558.65,0.380594264,0.005374131
559.4,0.384532519,0.005251007
560.15,0.388560276,0.005370343
561.15,0.393680892,0.005120616
562.15,0.398823046,0.005142155
562.65,0.401263274,0.004880454
563.4,0.405200448,0.005249566
564.65,0.411567079,0.005093305
565.4,0.415264962,0.00493051
566.15,0.419248312,0.005311134
567.15,0.424269967,0.005021655
567.9,0.428160844,0.005187836
568.65,0.432209383,0.005398052
569.65,0.437141204,0.004931821
570.65,0.442214233,0.00507303
571.4,0.446115551,0.005201757
572.15,0.450134505,0.005358604
573.4,0.456531649,0.005117715
574.15,0.460320631,0.005051976
574.9,0.464067801,0.004996226
575.65,0.467660799,0.004790664
576.9,0.473743223,0.004865939
577.65,0.477333505,0.004787042
578.4,0.480881431,0.004730568
579.65,0.486620938,0.004591606
580.4,0.490155482,0.004712725
581.15,0.49348854,0.004444078
582.15,0.497999055,0.004510515
583.15,0.502547802,0.004548747
583.9,0.50578497,0.004316223
584.65,0.509086412,0.004401922
585.65,0.513460607,0.004374195
586.65,0.517807904,0.004347297
587.4,0.521053699,0.004327726
588.15,0.524607842,0.004738858
589.15,0.529047112,0.004439269
590.15,0.533884333,0.004837222
590.65,0.536342073,0.00491548
591.9,0.542641113,0.005039231
592.65,0.546560626,0.005226017
593.4,0.550621705,0.005414773
594.15,0.554862532,0.005654435
595.15,0.560872982,0.00601045
595.65,0.564059693,0.006373423
596.65,0.570831189,0.006771496
597.65,0.577214237,0.006383048
598.4,0.580537499,0.004431015
598.9,0.583719205,0.006363412
599.65,0.587739781,0.005360768
600.9,0.594397304,0.005326018
601.4,0.59591546,0.003036311
602.15,0.599151036,0.004314102
602.9,0.602077578,0.003902056
603.9,0.605507989,0.003430411
604.65,0.607940859,0.003243827
605.4,0.609778835,0.002450635
606.4,0.61207738,0.002298545
607.15,0.613907986,0.002440808
607.9,0.615421486,0.002017999
609.15,0.617703682,0.001825757
609.9,0.619097013,0.001857774
610.65,0.620411596,0.001752778
611.4,0.621698325,0.001715639
612.4,0.623386669,0.001688343
613.15,0.624642249,0.001674107
613.9,0.625891335,0.001665448
614.9,0.627556895,0.00166556
615.65,0.628809903,0.001670678
616.4,0.630064609,0.001672942
617.15,0.631320959,0.001675134
618.15,0.632998434,0.001677475
618.9,0.634258034,0.001679466
619.65,0.63551859,0.001680741
620.9,0.637620493,0.001681522
621.65,0.638881269,0.001681035
622.4,0.640140793,0.001679365
623.15,0.64139796,0.001676223
624.15,0.643067888,0.001669928
624.9,0.644312867,0.001659972
625.65,0.645519306,0.001608586
626.65,0.647140024,0.001620718
627.4,0.648310915,0.001561187
628.15,0.649487887,0.001569296
628.9,0.650643753,0.001541155
629.9,0.652159206,0.001515453
630.9,0.653655209,0.001496003
631.4,0.654406481,0.001502545
632.65,0.656247486,0.001472804
633.4,0.657332827,0.00144712
634.15,0.658416505,0.001444905
635.15,0.659842259,0.001425754
635.9,0.660919863,0.001436805
636.65,0.661984757,0.001419859
637.4,0.663046661,0.001415872
638.65,0.664799966,0.001402644
639.4,0.665858933,0.001411955
639.9,0.666582543,0.00144722
641.15,0.668357759,0.001420173
641.9,0.669426311,0.001424737
642.65,0.670497078,0.001427689
643.15,0.671236623,0.001479091
644.65,0.673331527,0.001396602
645.15,0.674070978,0.001478903
646.15,0.675467677,0.001396698
647.15,0.676880113,0.001412437
647.9,0.677930128,0.001400019
648.65,0.678970163,0.001386714
649.4,0.679998599,0.001371248
650.4,0.681349507,0.001350907
651.15,0.682346398,0.001329189
652.15,0.683637315,0.001290916
653.15,0.684948552,0.001311237
653.9,0.685893021,0.001259293
654.65,0.686817338,0.001232422
655.65,0.688049466,0.001232129
656.4,0.688964898,0.001220575
657.15,0.689875415,0.001214023
657.9,0.690783664,0.001210999
658.9,0.691995652,0.001211988
659.65,0.692908588,0.001217248
660.4,0.693827476,0.001225184
661.65,0.695362062,0.001227669
662.4,0.696302022,0.00125328
663.15,0.697274775,0.001297003
664.15,0.698568771,0.001293996
664.9,0.699529332,0.001280748
665.65,0.700531587,0.00133634
666.4,0.701584293,0.001403608
667.4,0.702941771,0.001357478
668.4,0.704365796,0.001424025
668.9,0.705128952,0.001526313
670.15,0.706939367,0.001448332
670.9,0.708032997,0.001458173
671.65,0.709183731,0.001534312
672.65,0.710742155,0.001558424
673.4,0.711926265,0.001578814
674.15,0.71312046,0.00159226
674.9,0.714350762,0.001640403
676.15,0.716306285,0.001564418
676.9,0.71753387,0.001636781
677.4,0.718349298,0.001630855
678.65,0.720312339,0.001570433
679.4,0.721495953,0.001578153
680.15,0.722664374,0.001557895
680.9,0.72382408,0.001546275
681.9,0.725343634,0.001519553
682.65,0.726465018,0.001495179
683.4,0.72754555,0.001440709
684.65,0.729375693,0.001464115
685.15,0.730084673,0.00141796
685.9,0.731094672,0.001346664
687.15,0.732842049,0.001397902
687.9,0.73384341,0.001335148
688.65,0.734826945,0.001311381
689.4,0.735792979,0.001288045
690.4,0.737054473,0.001261494
691.15,0.737981055,0.001235444
691.9,0.738891011,0.001213275
692.9,0.740145878,0.001254867
693.65,0.741022046,0.001168224
694.4,0.741810739,0.001051591
695.4,0.743008795,0.001198056
696.4,0.744029549,0.001020755
696.9,0.744489465,0.000919831
697.65,0.7452842,0.001059647
698.65,0.746402127,0.001117927
699.4,0.747243966,0.001122452
700.4,0.748146212,0.000902245
701.4,0.749173796,0.001027584
702.15,0.74985561,0.000909086
702.65,0.750147979,0.000584738
703.4,0.750793693,0.000860952
704.4,0.751612758,0.000819065
705.15,0.752194324,0.000775421
705.9,0.752747174,0.000737133
706.9,0.753392014,0.00064484
707.65,0.753963661,0.000762197
708.15,0.754192834,0.000458345
709.4,0.754914589,0.000577404
709.9,0.755206205,0.000583231
710.65,0.755562726,0.000475362
711.9,0.756154374,0.000473318
712.4,0.756368049,0.000427351
713.4,0.75677127,0.000403221
714.15,0.757065745,0.000392633
715.15,0.757433944,0.000368199
715.9,0.757718156,0.00037895
716.65,0.757992698,0.000366056
717.65,0.758345428,0.00035273
718.4,0.758645959,0.000400707
719.15,0.758938432,0.000389964
720.15,0.75934598,0.000407548
720.9,0.759641581,0.000394135
721.65,0.760032006,0.000520567
722.15,0.760208688,0.000353364
723.4,0.760855985,0.000517838
724.15,0.761284899,0.000571886
724.9,0.761665189,0.000507053
725.9,0.762245891,0.000580702
726.65,0.762739627,0.000658315
727.4,0.763178533,0.000585208
